Team,Rating_USAU,Tournaments,Games,Wins,Losses,Draws,W_Ratio,Opponent_W_Ratio,Goals_For,Goals_Against,Avg_Point_Diff,Component,Interconnectivity,Eligible
YAKA,635.940,1,6,5,1,0,0.833,0.634,85,55,5.000,1.000,22,0
Mooncup,566.570,1,5,5,0,0,1.000,0.544,69,46,4.600,1.000,17,0
Shout,493.430,2,12,11,1,0,0.917,0.460,173,117,4.667,1.000,20,0
JinX,481.460,1,6,5,1,0,0.833,0.517,74,55,3.167,1.000,24,0
East Block,350.930,2,11,8,3,0,0.727,0.555,155,120,3.182,1.000,18,0
Iceni,301.160,2,5,5,0,0,1.000,0.433,62,29,6.600,1.000,15,0
Heidees Frauen,285.250,1,6,4,2,0,0.667,0.451,78,64,2.333,1.000,17,0
Troubles Warsaw,215.750,1,5,3,2,0,0.600,0.498,68,60,1.600,1.000,15,0
CUS Padova Tane Malefiche,212.180,1,6,4,2,0,0.667,0.481,76,64,2.000,1.000,14,0
Jetset LUV,168.410,1,5,4,1,0,0.800,0.392,64,54,2.000,1.000,16,0
Tequila Boom Boom,160.800,2,11,8,3,0,0.727,0.489,139,123,1.455,1.000,20,0
Seagulls,129.300,2,12,5,7,0,0.417,0.634,131,133,-0.167,1.000,26,0
Bristol,107.100,3,15,9,6,0,0.600,0.540,165,140,1.667,1.000,29,0
box vienna,67.300,3,16,7,9,0,0.438,0.541,182,197,-0.938,1.000,26,0
Spice,51.170,2,8,5,3,0,0.625,0.465,80,62,2.250,1.000,14,0
Flame,16.050,1,6,4,2,0,0.667,0.503,61,49,2.000,1.000,15,0
SYC,-59.530,1,6,4,2,0,0.667,0.440,54,47,1.167,1.000,8,0
FABulous,-80.200,2,11,2,9,0,0.182,0.647,102,149,-4.273,1.000,26,0
Gravity,-129.780,2,10,5,5,0,0.500,0.493,95,89,0.600,1.000,14,0
Panthers Wroclaw - Women,-195.540,2,11,4,7,0,0.364,0.361,130,136,-0.545,1.000,18,0
3SB - Women,-220.970,3,17,4,13,0,0.235,0.516,173,229,-3.294,1.000,26,0
DiscoBolo,-231.830,1,5,1,4,0,0.200,0.550,44,62,-3.600,1.000,14,0
Lillipuc,-262.920,1,5,1,4,0,0.200,0.457,44,57,-2.600,1.000,12,0
Wuf.,-284.850,1,5,1,4,0,0.200,0.360,48,63,-3.000,1.000,13,0
SCRAM,-319.450,2,10,3,7,0,0.300,0.533,88,108,-2.000,1.000,9,0
Oxford,-320.470,1,2,2,0,0,1.000,0.000,23,12,5.500,1.000,6,0
Catchup Women,-462.880,1,6,1,5,0,0.167,0.393,62,81,-3.167,1.000,17,0
Horizon,-499.270,2,8,2,6,0,0.250,0.420,61,81,-2.500,1.000,15,0
Cheetahs,-763.320,1,5,0,5,0,0.000,0.339,39,69,-6.000,1.000,17,0
Chameleons,-854.200,2,8,0,8,0,0.000,0.633,32,106,-9.250,1.000,15,0
