"team_id","team_name","division_id","division_name","country_id","country_ioc","country_name"
"1","Glasgow Ultimate","3","Mixed","1069","GBR","Great Britain"
"2","Deep Space","3","Mixed","1069","GBR","Great Britain"
"3","BN1","3","Mixed","1069","GBR","Great Britain"
"4","Reading Ultimate","3","Mixed","1069","GBR","Great Britain"
"5","Leamington Lemmings","3","Mixed","1069","GBR","Great Britain"
"6","Thundering Herd","3","Mixed","1069","GBR","Great Britain"
"7","Oxford Ultimate","3","Mixed","1069","GBR","Great Britain"
"9","Zoom Ultimate","3","Mixed","1190","TUR","Turkey"
"10","Nullacht! Ultimate","3","Mixed","1073","GER","Germany"
"11","Wiener Mischung","3","Mixed","1012","AUT","Austria"
"12","Colorado","3","Mixed","1073","GER","Germany"
"13","Zombees","3","Mixed","1012","AUT","Austria"
"14","Nuclear Discs","3","Mixed","1166","SLO","Slovenia"
"15","Tiefseetaucher","3","Mixed","1073","GER","Germany"
"16","The Owls","3","Mixed","1018","BEL","Belgium"
"18","Sesquidistus","3","Mixed","1065","FRA","France"
"19","Disconnection","3","Mixed","1073","GER","Germany"
"21","Remix","3","Mixed","1135","NED","Netherlands"
"22","Fireball Ultimate","3","Mixed","1190","TUR","Turkey"
"24","Heck","3","Mixed","1069","GBR","Great Britain"
"25","Steamhuck","3","Mixed","1190","TUR","Turkey"
"26","PELT","3","Mixed","1088","IRL","Ireland"
"27","Savage Ultimate","3","Mixed","1151","POL","Poland"
"28","Sky This Warszawa","3","Mixed","1151","POL","Poland"
"29","Malmö Ultimate Club","3","Mixed","1177","SWE","Sweden"
"30","Heroes Flying Disc","3","Mixed","1084","HUN","Hungary"
"31","Mosquitos","3","Mixed","1012","AUT","Austria"
"32","OUT","3","Mixed","1084","HUN","Hungary"
"33","AKS Zły Ultimate","3","Mixed","1151","POL","Poland"
"34","Tartu Turbulence","3","Mixed","1061","EST","Estonia"
"35","KS Flow Wrocław","3","Mixed","1151","POL","Poland"
"37","Jetset LUV","2","Women","1018","BEL","Belgium"
"38","Queen Kong","2","Women","1065","FRA","France"
"39","FlyHigh Louves","2","Women","1174","SUI","Switzerland"
"40","Tequila Boom Boom","2","Women","1093","ITA","Italy"
"41","wuf.","2","Women","1018","BEL","Belgium"
"42","SYC","2","Women","1069","GBR","Great Britain"
"43","ZU Swarm","2","Women","1174","SUI","Switzerland"
"44","Sharks Ultimate Barcelona","2","Women","1060","ESP","Spain"
"45","Iceni","2","Women","1069","GBR","Great Britain"
"46","Dublin Gravity","2","Women","1088","IRL","Ireland"
"47","Spice","2","Women","1069","GBR","Great Britain"
"48","SMOG","2","Women","1069","GBR","Great Britain"
"49","Seagulls","2","Women","1073","GER","Germany"
"50","Atletico","2","Women","1064","FIN","Finland"
"52","Aarhus Ultimate","2","Women","1052","DEN","Denmark"
"53","Malmö Ultimate Club","2","Women","1177","SWE","Sweden"
"54","Copenhagen Hucks","2","Women","1052","DEN","Denmark"
"55","FABulous","2","Women","1174","SUI","Switzerland"
"56","3SB","2","Women","1051","CZE","Czech Republic"
"57","East Block","2","Women","1051","CZE","Czech Republic"
"58","box vienna ultimate","2","Women","1012","AUT","Austria"
"60","Outsisterz","2","Women","1176","SVK","Slovakia"
"61","Troubles","2","Women","1151","POL","Poland"
"63","Iznogood","1","Open","1065","FRA","France"
"64","Monkey","1","Open","1065","FRA","France"
"65","Flying Angels Bern","1","Open","1174","SUI","Switzerland"
"66","Quijotes","1","Open","1060","ESP","Spain"
"67","Black Birds","1","Open","1018","BEL","Belgium"
"68","One Tribe","1","Open","1093","ITA","Italy"
"69","Jetset Open","1","Open","1018","BEL","Belgium"
"70","Krakens","1","Open","1060","ESP","Spain"
"71","Freespeed","1","Open","1174","SUI","Switzerland"
"72","Heidees","1","Open","1073","GER","Germany"
"73","Panthers Bern Ultimate","1","Open","1174","SUI","Switzerland"
"74","Bad Skid","1","Open","1073","GER","Germany"
"75","Wall City","1","Open","1073","GER","Germany"
"76","Gentle","1","Open","1018","BEL","Belgium"
"77","Frizzly Bears","1","Open","1073","GER","Germany"
"78","Ars Ludendi","1","Open","1073","GER","Germany"
"79","7Schwaben","1","Open","1073","GER","Germany"
"80","FrankN","1","Open","1073","GER","Germany"
"81","XVI","1","Open","1088","IRL","Ireland"
"82","Smash'D","1","Open","1069","GBR","Great Britain"
"83","SMOG","1","Open","1069","GBR","Great Britain"
"84","Chevron Action Flash","1","Open","1069","GBR","Great Britain"
"85","Alba","1","Open","1069","GBR","Great Britain"
"86","Bristol","1","Open","1069","GBR","Great Britain"
"87","Dublin Frisbee 7s","1","Open","1088","IRL","Ireland"
"88","Ka-Pow!","1","Open","1069","GBR","Great Britain"
"89","Uproar","1","Open","1088","IRL","Ireland"
"90","Rebel Ultimate","1","Open","1088","IRL","Ireland"
"91","KFUM Örebro Frisbee","1","Open","1177","SWE","Sweden"
"92","KFK","1","Open","1052","DEN","Denmark"
"93","Freezzz Beezzz","1","Open","1018","BEL","Belgium"
"94","Aarhus","1","Open","1052","DEN","Denmark"
"95","Ranelagh","1","Open","1088","IRL","Ireland"
"96","OTSO","1","Open","1064","FIN","Finland"
"97","PirU","1","Open","1064","FIN","Finland"
"99","Hardfisch","1","Open","1073","GER","Germany"
"100","Malmö Ultimate Club","1","Open","1177","SWE","Sweden"
"101","Terrible Monkeys","1","Open","1051","CZE","Czech Republic"
"102","FWD>>","1","Open","1012","AUT","Austria"
"103","Uprising Ultimate","1","Open","1151","POL","Poland"
"104","Panthers Wrocław","1","Open","1151","POL","Poland"
"105","Outsiterz","1","Open","1176","SVK","Slovakia"
"107","Catchup Graz","1","Open","1012","AUT","Austria"
"108","3SB","1","Open","1051","CZE","Czech Republic"
"109","Atrofované Ruce","1","Open","1051","CZE","Czech Republic"
"111","thebigEZ","1","Open","1012","AUT","Austria"
"112","Grut","1","Open","1135","NED","Netherlands"
"113","UFO","1","Open","1135","NED","Netherlands"
"114","DiscoBolo","1","Open","1093","ITA","Italy"
"115","ZU PlatZHirsch","1","Open","1174","SUI","Switzerland"
"116","Révolution'Air","1","Open","1065","FRA","France"
"117","Solebang","1","Open","1174","SUI","Switzerland"
"118","Tchac","1","Open","1065","FRA","France"
"119","AUT Beefree","1","Open","1093","ITA","Italy"
"120","Mooncatchers","1","Open","1018","BEL","Belgium"
"121","BFD LaFotta","1","Open","1093","ITA","Italy"
"122","REDBULLS","1","Open","1093","ITA","Italy"
"123","Cotarica Grandes","1","Open","1093","ITA","Italy"
"124","DTU","3","Mixed","1052","DEN","Denmark"
"125","Frubb","3","Mixed","1073","GER","Germany"
"126","PUC","3","Mixed","1065","FRA","France"
"127","Cus Padova Rangərs","3","Mixed","1093","ITA","Italy"
"128","W.underteam","3","Mixed","1012","AUT","Austria"
"129","BFD Shout","2","Women","1093","ITA","Italy"
"130","GRUT","2","Women","1135","NED","Netherlands"
"131","Solebang","2","Women","1174","SUI","Switzerland"
"132","Catchup","2","Women","1012","AUT","Austria"
"133","Mooncup","2","Women","1018","BEL","Belgium"
"134","Horizon","2","Women","1069","GBR","Great Britain"
"135","LMU","2","Women","1069","GBR","Great Britain"
"136","Bristol","2","Women","1069","GBR","Great Britain"
"137","Clapham","1","Open","1069","GBR","Great Britain"
"138","Manchots","3","Mixed","1065","FRA","France"
"139","YAKA","2","Women","1065","FRA","France"
"140","Jinx Midnight","2","Women","1073","GER","Germany"
"141","Armada","1","Open","1018","BEL","Belgium"
"142","test","1","Open","1012","AUT","Austria"
